id,df_id,dl_id,municipio_id
1291,9,15,5
1297,9,15,5
1299,5,9,4
1300,5,9,4
1301,5,9,4
1302,5,8,4
1303,5,8,4
1304,5,9,4
1305,5,9,4
1306,5,9,4
1307,5,9,4
1308,5,9,4
1309,5,9,4
1310,5,9,4
1311,5,8,4
1312,5,8,4
1313,5,9,4
1314,5,9,4
1315,5,9,4
1316,5,9,4
1317,5,9,4
1318,5,9,4
1319,5,8,4
1320,5,9,4
1321,5,9,4
1322,5,9,4
1323,5,9,4
1324,5,9,4
1325,5,9,4
1326,5,8,4
1327,5,8,4
1328,5,8,4
1329,5,9,4
1330,5,9,4
1331,5,9,4
1332,5,8,4
1333,5,8,4
1334,5,8,4
1335,5,13,4
1336,8,13,4
1337,8,13,4
1338,8,13,4
1339,8,13,4
1340,8,13,4
1341,8,13,4
1342,8,12,4
1343,8,12,4
1344,8,12,4
1345,8,12,4
1346,8,12,4
1347,8,12,4
1348,5,12,4
1349,5,12,4
1350,8,12,4
1351,8,12,4
1352,8,12,4
1353,8,13,4
1355,8,12,4
1357,8,12,4
1358,6,11,4
1359,6,11,4
1360,6,11,4
1361,6,11,4
1362,6,11,4
1363,9,15,5
1364,9,15,5
1365,9,15,5
1366,9,15,5
1367,9,15,5
1370,9,15,5
1371,4,8,4
1372,4,8,4
1373,4,7,4
1374,4,7,4
1375,4,7,4
1376,4,8,4
1377,4,8,4
1378,4,8,4
1379,4,8,4
1380,4,8,4
1381,4,8,4
1382,4,7,4
1383,4,7,4
1384,4,7,4
1385,4,7,4
1386,4,7,4
1387,4,7,4
1388,4,7,4
1389,4,7,4
1390,4,7,4
1391,4,7,4
1392,4,7,4
1393,4,7,4
1394,4,7,4
1395,4,7,4
1396,4,7,4
1397,4,7,4
1398,4,7,4
1399,4,7,4
1400,4,7,4
1401,4,7,4
1402,4,7,4
1403,4,7,4
1404,4,7,4
1405,4,7,4
1406,4,7,4
1407,4,7,4
1408,4,7,4
1409,4,7,4
1410,4,7,4
1411,4,7,4
1412,5,8,4
1413,5,8,4
1414,4,8,4
1415,4,8,4
1416,4,8,4
1417,4,8,4
1418,4,8,4
1419,5,8,4
1420,5,8,4
1422,4,7,4
1423,4,7,4
1424,4,7,4
1425,4,7,4
1426,4,7,4
1427,4,7,4
1428,4,7,4
1429,4,7,4
1430,4,7,4
1431,4,7,4
1432,4,7,4
1433,4,7,4
1434,4,6,4
1435,4,6,4
1436,4,6,4
1437,4,6,4
1438,4,6,4
1439,4,6,4
1440,4,6,4
1441,4,6,4
1442,4,6,4
1443,4,7,4
1444,4,7,4
1445,4,7,4
1446,4,7,4
1447,9,6,4
1448,9,6,4
1449,9,6,4
1450,9,6,4
1451,9,6,4
1452,9,6,4
1453,4,7,4
1454,4,7,4
1455,4,14,4
1456,4,14,4
1457,4,14,4
1458,4,14,4
1459,4,14,4
1460,4,14,4
1461,4,14,4
1462,4,14,4
1463,4,14,4
1464,4,14,4
1465,4,14,4
1466,4,14,4
1467,4,14,4
1468,4,14,4
1469,4,14,4
1470,4,14,4
1471,4,14,4
1472,4,14,4
1473,4,14,4
1474,4,14,4
1475,4,14,4
1476,4,14,4
1477,4,14,4
1478,4,14,4
1479,4,14,4
1480,4,14,4
1481,4,14,4
1482,4,14,4
1483,4,14,4
1484,6,11,4
1486,6,11,4
1487,6,11,4
1488,6,11,4
1489,6,11,4
1490,6,11,4
1491,6,11,4
1492,6,11,4
1493,6,11,4
1494,6,11,4
1495,6,11,4
1496,6,11,4
1497,6,11,4
1499,6,11,4
1500,6,11,4
1501,6,11,4
1502,6,11,4
1503,6,11,4
1504,6,11,4
1505,6,11,4
1506,6,11,4
1507,6,11,4
1508,6,11,4
1509,6,11,4
1510,6,11,4
1511,6,11,4
1512,6,11,4
1513,6,11,4
1514,6,11,4
1515,6,11,4
1516,6,11,4
1517,6,11,4
1518,6,11,4
1519,6,11,4
1521,6,11,4
1522,6,11,4
1523,6,11,4
1524,6,11,4
1525,6,11,4
1526,4,7,4
1527,4,7,4
1528,4,7,4
1529,4,8,4
1530,4,8,4
1531,4,7,4
1532,4,8,4
1533,4,7,4
